id_sugerido,nombre,siglas_sugeridas,provincia,tipo,url_oficial
pa,Universidad Peruana de las Américas S.A.C.,PA,Lima,privada,https://ulasamericas.edu.pe/
tfil,Universidad Nacional Tecnológica de Frontera San Ignacio de Loyola,TFIL,San Ignacio,pública,https://unatefsil.edu.pe/
ipd,Universidad Interamericana para el Desarrollo,IPD,Lima,privada,https://unid.edu.pe/
jcmm,Universidad José Carlos Mariátegui de Moquegua,JCMM,Moquegua,privada,https://www.ujcm.edu.pe/
m,Universidad Nacional de Música,M,Lima,pública,https://www.unm.edu.pe/
dar,Universidad Nacional Daniel Alomía Robles,DAR,Huánuco,pública,
cac,Universidad Católica Los Ángeles de Chimbote,CAC,Santa,privada,
pp,Universidad Politécnica del Perú S.A.,PP,Lima,privada,
pt,Universidad Privada de Trujillo,PT,Trujillo,privada,
pc,Universidad Peruana del Centro,PC,Huancayo,privada,
ca,Universidad Nacional Ciro Alegría,CA,Sánchez Carrión,pública,
prg,Universidad Nacional Pedro Ruiz Gallo,PRG,Lambayeque,pública,
lg,Universidad Nacional San Luis Gonzaga,LG,Ica,pública,
ai,Universidad Autónoma de Ica,AI,Chincha,privada,
ftpcl,Facultad de Teología Pontificia y Civil de Lima,FTPCL,Lima,privada,
fv,Universidad Nacional Federico Villarreal,FV,Lima,pública,
ta,Universidad Tecnológica de los Andes,TA,Abancay,privada,
pa2,Universidad Peruana Los Andes,PA,Huancayo,privada,
mba,Universidad Nacional Micaela Bastidas de Apurímac,MBA,Abancay,pública,
ss,Universidad Señor de Sipán,SS,Chiclayo,privada,
pnw,Universidad Privada Norbert Wiener,PNW,Lima,privada,
pjb,Universidad Privada San Juan Bautista,PJB,Lima,privada,
amd,Universidad Nacional Amazónica de Madre de Dios,AMD,Tambopata,pública,
as,Universidad Nacional Agraria de la Selva,AS,Leoncio Prado,pública,
dac,Universidad Nacional Daniel Alcides Carrión,DAC,Pasco,pública,
hv,Universidad Nacional Hermilio Valdizán,HV,Huánuco,pública,
h,Universidad Nacional de Huancavelica,H,Huancavelica,pública,
iq,Universidad Nacional Intercultural de Quillabamba,IQ,La Convención,pública,
phfr,Universidad Privada de Huancayo Franklin Roosevelt,PHFR,Huancayo,privada,
h2,Universidad de Huánuco,H,Huánuco,privada,
p,Universidad Nacional de Piura,P,Piura,pública,
aac,Universidad Nacional de San Antonio Abad del Cusco,AAC,Cusco,pública,
m2,Universidad Nacional de San Martín,M,San Martín,pública,
f,Universidad Nacional de Frontera,F,Sullana,pública,
cp,Universidad Nacional del Centro del Perú,CP,Huancayo,pública,
ctbx,Universidad Católica de Trujillo Benedicto XVI,CTBX,Trujillo,privada,
atdhm,Universidad Nacional Autónoma de Tayacaja Daniel Hernández Morillo,ATDHM,Tayacaja,pública,
ap,Universidad Nacional de la Amazonía Peruana,AP,Maynas,pública,
sam,Universidad Nacional Santiago Antúnez de Mayolo,SAM,Huaraz,pública,
ac,Universidad Nacional Autónoma de Chota,AC,Chota,pública,
lcb,Universidad Le Cordon Bleu S.A.C.,LCB,Lima,privada,
u,Universidad Nacional de Ucayali,U,Coronel Portillo,pública,
ma,Universidad María Auxiliadora,MA,Lima,privada,
aat,Universidad Nacional Autónoma Altoandina de Tarma,AAT,Tarma,pública,
ia,Universidad Nacional Intercultural de la Amazonia,IA,Coronel Portillo,pública,
t,Universidad Nacional de Trujillo,T,Trujillo,pública,
css,Universidad Católica Sedes Sapientiae,CSS,Lima,privada,
a,Universidad Nacional de San Agustín,A,Arequipa,pública,
j,Universidad Nacional de Juliaca,J,San Román,pública,
ifslb,Universidad Nacional Intercultural Fabiola Salazar Leguía de Bagua,IFSLB,Bagua,pública,
c,Universidad Continental,C,Huancayo,privada,
ap2,Universidad Autónoma del Perú,AP,Lima,privada,
c2,Universidad Nacional de Cajamarca,C,Cajamarca,pública,
aaa,Universidad Nacional Autónoma de Alto Amazonas,AAA,Alto Amazonas,pública,
jbm,Universidad Jaime Bausate y Meza,JBM,Lima,privada,
pu,Universidad Peruana Unión,PU,Lima,privada,
ch,Universidad Nacional de San Cristóbal de Huamanga,CH,Huamanga,pública,
cs,Universidad Científica del Sur,CS,Lima,privada,
e,Universidad ESAN,E,Lima,privada,
pao,Universidad Privada Antenor Orrego,PAO,Trujillo,privada,
iscjsa,Universidad Nacional Intercultural de la selva central Juan Santos Atahualpa,ISCJSA,Chanchamayo,pública,
cstm,Universidad Católica Santo Toribio de Mogrovejo,CSTM,Chiclayo,privada,
s,Universidad La Salle,S,Arequipa,privada,
j2,Universidad Nacional de Jaén,J,Jaén,pública,
m3,Universidad Nacional de Moquegua,M,Mariscal Nieto,pública,
cm,Universidad Católica de Santa María,CM,Arequipa,privada,
a2,Universidad Nacional del Altiplano,A,Puno,pública,
ac2,Universidad Andina del Cusco,AC,Cusco,privada,
pt2,Universidad Privada de Tacna,PT,Tacna,privada,
ch2,Universidad de Ciencias y Humanidades,CH,Lima,privada,
pn,Universidad Privada del Norte,PN,Trujillo,privada,
cp2,Universidad Católica San Pablo,CP,Arequipa,privada,
mc,Universidad Marcelino Champagnat,MC,Lima,privada,
il,Universidad San Ignacio de Loyola,IL,Lima,privada,
jma,Universidad Nacional José María Arguedas,JMA,Andahuaylas,pública,
trma,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas,TRMA,Chachapoyas,pública,
mp,Universidad de San Martín de Porres,MP,Lima,privada,
arm,Universidad Antonio Ruiz de Montoya,ARM,Lima,privada,
ah,Universidad Nacional Autónoma de Huanta,AH,Huanta,pública,
p2,Universidad de Piura,P,Piura,privada,
fsc,Universidad Femenina del Sagrado Corazón,FSC,Lima,privada,
caal,Universidad de Ciencias y Artes de América Latina,CAAL,Lima,privada,
pda,Universidad para el Desarrollo Andino,PDA,Angaraes,privada,
